time,source,destination,vlan_prio
0.499522,10.0.0.4,10.0.0.1,4
0.499710,10.0.0.4,10.0.0.1,4
0.499831,10.0.0.4,10.0.0.1,4
0.499951,10.0.0.4,10.0.0.1,4
0.500070,10.0.0.4,10.0.0.1,4
0.500190,10.0.0.4,10.0.0.1,4
0.500315,10.0.0.4,10.0.0.1,4
0.500439,10.0.0.2,10.0.0.1,6
0.500637,10.0.0.2,10.0.0.1,6
0.500784,10.0.0.3,10.0.0.1,5
0.500940,10.0.0.2,10.0.0.1,6
0.501086,10.0.0.3,10.0.0.1,5
0.501244,10.0.0.2,10.0.0.1,6
0.501666,10.0.0.3,10.0.0.1,5
0.501794,10.0.0.2,10.0.0.1,6
0.501921,10.0.0.5,10.0.0.1,0
0.501943,10.0.0.3,10.0.0.1,5
0.502041,10.0.0.2,10.0.0.1,6
0.502055,10.0.0.5,10.0.0.1,0
0.502119,10.0.0.5,10.0.0.1,0
0.502179,10.0.0.3,10.0.0.1,5
0.502213,10.0.0.5,10.0.0.1,0
0.502357,10.0.0.5,10.0.0.1,0
0.502494,10.0.0.5,10.0.0.1,0
0.502690,10.0.0.5,10.0.0.1,0
0.502830,10.0.0.5,10.0.0.1,0
0.502964,10.0.0.5,10.0.0.1,0
0.503104,10.0.0.5,10.0.0.1,0
0.503239,10.0.0.5,10.0.0.1,0
0.503377,10.0.0.5,10.0.0.1,0
0.503513,10.0.0.5,10.0.0.1,0
0.503649,10.0.0.5,10.0.0.1,0
0.503782,10.0.0.5,10.0.0.1,0
0.503978,10.0.0.5,10.0.0.1,0
0.504098,10.0.0.5,10.0.0.1,0
0.504243,10.0.0.5,10.0.0.1,0
0.504371,10.0.0.5,10.0.0.1,0
0.504511,10.0.0.5,10.0.0.1,0
0.504649,10.0.0.5,10.0.0.1,0
0.504791,10.0.0.5,10.0.0.1,0
0.504923,10.0.0.5,10.0.0.1,0
0.505041,10.0.0.5,10.0.0.1,0
0.505158,10.0.0.5,10.0.0.1,0
0.505553,10.0.0.5,10.0.0.1,0
0.505671,10.0.0.5,10.0.0.1,0
0.505788,10.0.0.5,10.0.0.1,0
0.505905,10.0.0.5,10.0.0.1,0
0.506021,10.0.0.5,10.0.0.1,0
0.506137,10.0.0.5,10.0.0.1,0
0.506254,10.0.0.5,10.0.0.1,0
0.506379,10.0.0.5,10.0.0.1,0
0.506496,10.0.0.5,10.0.0.1,0
0.506650,10.0.0.5,10.0.0.1,0
0.506818,10.0.0.5,10.0.0.1,0
0.507453,10.0.0.5,10.0.0.1,0
0.507612,10.0.0.5,10.0.0.1,0
0.507751,10.0.0.5,10.0.0.1,0
0.507834,10.0.0.5,10.0.0.1,0
0.507979,10.0.0.5,10.0.0.1,0
0.508117,10.0.0.5,10.0.0.1,0
0.508256,10.0.0.5,10.0.0.1,0
0.508379,10.0.0.5,10.0.0.1,0
0.508549,10.0.0.5,10.0.0.1,0
0.508675,10.0.0.5,10.0.0.1,0
0.508794,10.0.0.5,10.0.0.1,0
0.508920,10.0.0.5,10.0.0.1,0
0.509038,10.0.0.5,10.0.0.1,0
0.509175,10.0.0.5,10.0.0.1,0
0.509521,10.0.0.5,10.0.0.1,0
0.510282,10.0.0.3,10.0.0.1,5
0.510422,10.0.0.2,10.0.0.1,6
0.510546,10.0.0.3,10.0.0.1,5
0.510667,10.0.0.2,10.0.0.1,6
0.510779,10.0.0.2,10.0.0.1,6
0.511018,10.0.0.3,10.0.0.1,5
0.511155,10.0.0.2,10.0.0.1,6
0.511274,10.0.0.3,10.0.0.1,5
0.511408,10.0.0.2,10.0.0.1,6
0.511527,10.0.0.3,10.0.0.1,5
0.511648,10.0.0.2,10.0.0.1,6
0.511770,10.0.0.3,10.0.0.1,5
0.511896,10.0.0.2,10.0.0.1,6
0.512016,10.0.0.3,10.0.0.1,5
0.512157,10.0.0.2,10.0.0.1,6
0.512278,10.0.0.3,10.0.0.1,5
0.512398,10.0.0.2,10.0.0.1,6
0.512542,10.0.0.2,10.0.0.1,6
0.512663,10.0.0.3,10.0.0.1,5
0.512784,10.0.0.3,10.0.0.1,5
0.512908,10.0.0.3,10.0.0.1,5
0.513048,10.0.0.4,10.0.0.1,4
0.513169,10.0.0.4,10.0.0.1,4
0.513836,10.0.0.4,10.0.0.1,4
0.514140,10.0.0.4,10.0.0.1,4
0.514272,10.0.0.3,10.0.0.1,5
0.514404,10.0.0.3,10.0.0.1,5
0.514521,10.0.0.4,10.0.0.1,4
0.514649,10.0.0.4,10.0.0.1,4
0.514772,10.0.0.3,10.0.0.1,5
0.514958,10.0.0.4,10.0.0.1,4
0.515090,10.0.0.3,10.0.0.1,5
0.515240,10.0.0.3,10.0.0.1,5
0.515358,10.0.0.4,10.0.0.1,4
0.515477,10.0.0.3,10.0.0.1,5
0.515595,10.0.0.4,10.0.0.1,4
0.515811,10.0.0.5,10.0.0.1,0
0.515899,10.0.0.5,10.0.0.1,0
0.515984,10.0.0.5,10.0.0.1,0
0.516805,10.0.0.5,10.0.0.1,0
0.516887,10.0.0.5,10.0.0.1,0
0.516978,10.0.0.5,10.0.0.1,0
0.517076,10.0.0.5,10.0.0.1,0
0.517195,10.0.0.5,10.0.0.1,0
0.519426,10.0.0.5,10.0.0.1,0
0.519547,10.0.0.5,10.0.0.1,0
0.519632,10.0.0.3,10.0.0.1,5
0.519663,10.0.0.5,10.0.0.1,0
0.519780,10.0.0.5,10.0.0.1,0
0.519867,10.0.0.3,10.0.0.1,5
0.519941,10.0.0.5,10.0.0.1,0
0.520058,10.0.0.5,10.0.0.1,0
0.520155,10.0.0.3,10.0.0.1,5
0.520397,10.0.0.3,10.0.0.1,5
0.520610,10.0.0.3,10.0.0.1,5
0.520873,10.0.0.3,10.0.0.1,5
0.521412,10.0.0.3,10.0.0.1,5
0.522347,10.0.0.5,10.0.0.1,0
0.522433,10.0.0.5,10.0.0.1,0
0.522611,10.0.0.5,10.0.0.1,0
0.522738,10.0.0.5,10.0.0.1,0
0.522865,10.0.0.5,10.0.0.1,0
0.523013,10.0.0.5,10.0.0.1,0
0.523138,10.0.0.5,10.0.0.1,0
0.523256,10.0.0.5,10.0.0.1,0
0.523375,10.0.0.5,10.0.0.1,0
0.523493,10.0.0.5,10.0.0.1,0
0.523611,10.0.0.5,10.0.0.1,0
0.523729,10.0.0.5,10.0.0.1,0
0.523847,10.0.0.5,10.0.0.1,0
0.523968,10.0.0.5,10.0.0.1,0
0.524255,10.0.0.5,10.0.0.1,0
0.524420,10.0.0.5,10.0.0.1,0
0.524585,10.0.0.5,10.0.0.1,0
0.524741,10.0.0.5,10.0.0.1,0
0.524848,10.0.0.5,10.0.0.1,0
0.525016,10.0.0.5,10.0.0.1,0
0.525712,10.0.0.5,10.0.0.1,0
0.525763,10.0.0.3,10.0.0.1,5
0.525994,10.0.0.2,10.0.0.1,6
0.527783,10.0.0.3,10.0.0.1,5
0.527917,10.0.0.3,10.0.0.1,5
0.528062,10.0.0.4,10.0.0.1,4
0.528256,10.0.0.2,10.0.0.1,6
0.528387,10.0.0.3,10.0.0.1,5
0.528506,10.0.0.2,10.0.0.1,6
0.528641,10.0.0.4,10.0.0.1,4
0.528776,10.0.0.3,10.0.0.1,5
0.528894,10.0.0.3,10.0.0.1,5
0.529117,10.0.0.2,10.0.0.1,6
0.529251,10.0.0.3,10.0.0.1,5
0.529733,10.0.0.5,10.0.0.1,0
0.529750,10.0.0.4,10.0.0.1,4
0.529849,10.0.0.5,10.0.0.1,0
